call_id,call_datetime,caller_number,caller_name,callee_number,callee_name,duration_seconds,call_type,cell_tower_location
C-10041,2026-06-28 18:12:00,9431187620,Kamla Devi,7903312456,Priya Verma,184,VOICE,Tupudana-Tower-3
C-10052,2026-07-02 09:41:00,9431187620,Kamla Devi,7903312456,Priya Verma,96,VOICE,Tupudana-Tower-3
C-10077,2026-07-05 20:03:00,9431187620,Kamla Devi,9835512890,Suresh Mahato,241,VOICE,Tupudana-Tower-3
C-10089,2026-07-08 12:55:00,9431187620,Kamla Devi,7903312456,Priya Verma,63,VOICE,Tupudana-Tower-3
C-10103,2026-07-10 19:30:00,9431187620,Kamla Devi,7903312456,Priya Verma,312,VOICE,Tupudana-Tower-3
C-10118,2026-07-12 08:14:00,9431187620,Kamla Devi,7903312456,Priya Verma,145,VOICE,Tupudana-Tower-3
C-10122,2026-07-13 21:02:00,9431187620,Kamla Devi,9835512890,Suresh Mahato,289,VOICE,Tupudana-Tower-3
C-10126,2026-07-13 21:45:00,9431187620,Kamla Devi,7903312456,Priya Verma,201,VOICE,Tupudana-Tower-3
C-10131,2026-07-14 07:12:00,9431187620,Kamla Devi,7903312456,Priya Verma,58,VOICE,Tupudana-Tower-3
C-10132,2026-07-14 07:29:00,9431187620,Kamla Devi,9835512890,Suresh Mahato,77,VOICE,Tupudana-Tower-3
C-10145,2026-07-16 11:05:00,9431187620,Kamla Devi,9871234567,Ashok Bhatia,132,VOICE,Namkum-Tower-1
C-10201,2026-07-20 16:40:00,9431187620,Kamla Devi,9835512890,Suresh Mahato,54,VOICE,Ratu-Road-Tower-2
C-10250,2026-07-27 10:18:00,9431187620,Kamla Devi,8210094721,Sunita Oraon,210,VOICE,Ormanjhi-Tower-1
C-10261,2026-07-29 19:52:00,9431187620,Kamla Devi,8210094721,Sunita Oraon,168,VOICE,Ormanjhi-Tower-1
C-10275,2026-08-01 09:03:00,9431187620,Kamla Devi,8210094721,Sunita Oraon,99,VOICE,Ormanjhi-Tower-1
C-10279,2026-08-01 20:11:00,9431187620,Kamla Devi,9835512890,Suresh Mahato,203,VOICE,Ormanjhi-Tower-1
C-10283,2026-08-02 07:20:00,9431187620,Kamla Devi,8210094721,Sunita Oraon,44,VOICE,Ormanjhi-Tower-1
C-10284,2026-08-02 07:38:00,9431187620,Kamla Devi,9835512890,Suresh Mahato,61,VOICE,Ormanjhi-Tower-1
C-10298,2026-08-04 12:47:00,9431187620,Kamla Devi,9871234567,Ashok Bhatia,118,VOICE,Namkum-Tower-1
C-10301,2026-08-05 09:00:00,9431187620,Kamla Devi,9431500221,Ramu Mahato,340,VOICE,Namkum-Tower-1
